Asset,Amount,Locked
PDEX,0.000683834032,0
VRA,272601.53268191685,0
ALPACA,2502.94715026995,0
FITFI,9043.2744288987,0
TVK,1478.24583565253,0
USDT,6768.642806618089,1600.0461676764
FRONT,923.62654,0
KDA,279.06074075,0
ALU,62974.031590268109,0
RAZOR,1816.997,0
MTS,1652.6012035,0
BONDLY,5789.8470930233,0
FEAR,0.000198,0
RMRK,406.866265539961,0
ILV,1.131390946052,0
NRV,909.582208636863,0
POLC,1655.728867,0
HEGIC,1641.489733545365,0
BLANKV2,2252.11519331324,0
NORD,383.8178197,0
NFTX,16.64477917,0
FINE,0.000187,0
POLK,632.914865129532,0
SLIM,1142.98074,0
KYL,2503.966090477639,0
PBR,1943.48309605,0
PORT,315.8595072,0
ORCA,210.41919797488,0
LEVER,0.09045995,0
USTC,0.00029572,0
OMI,699961.929500186431,0
SFUND,937.217496094038,0
MAHA,177.77769984,0
GARI,919.578059908042,0
BTC,0.144711595,0
LIKE,1970.51068,0
RAMP,0.000000004907,0
VERA,0.00068683865,0
ANC,1322.797138384474,0
CWAR,1158.5634389,0
ERG,0.000414158328,0
RFOX,37523.120298745813,0
RAZE,1412.400952541872,0
BONDLYV1,5789.84709302,0
THETA,0.00071955,0
LOOKS,1079.27777475,0
MAT,4390.941077322481,0
PCX,124.2990374,0
EFI,4396.56938905,0
WND,1604.037764726231,0
QUICK,2.3745755,0
ATLAS,0.000102758485,0
TORN,26.9301934,0
SNK,1574.832070240495,0
THG,1609.034060831616,0
CFX,0.0089235,0
TLM,20481.025129,0
ALICE,0.00021895,0
ROOMV2,0.00002065,0
MCASH,5895.07202165097,0
ROOMV1,0.00002065,0
UFO,85621393.0097,0
CGG,6989.0755186159,0
SUPER,0.000747,0
WILD,2024.6720224,0
POLS,1581.651500745332,0
CRBN,5789.087073154107,0
EGG,0.000693,0
GGG,2839.1448329491,0
XCAD,0.00045015,0
API3,0.00012155,0
PYR,306.41353964,0
GT,0.316221,0
DERC,4265.04497243201,0
ORAI,45.91432015,0
GALA,0.0004375723,0
CHAIN,6275.24527015,0
DAR,3067.5823753,0
ORAO,0.000077156938,0
BNB,0.0006998,0
YGG,0.00001255,0
UOS,2875.08794715,0
ETH,0.000000692038,0
POINT,0.001060052425,0
ADA,0.00069675,0
PRARE,7117.269174355675,0
